timestamp,latitude,longitude
2018-09-18 21:47:37,40.7300805,-73.9934251
2018-09-18 13:00:09,40.7279268,-74.0073343
2018-09-18 12:57:17,40.7299046,-74.0069619
2018-09-18 12:54:49,40.7318217,-74.0066776
2018-09-18 12:52:19,40.7328472,-74.0067056
2018-09-16 21:13:27,40.7524525,-73.9933152
2018-09-16 13:53:22,40.753704,-73.9931936
2018-09-16 13:15:40,40.7536548,-73.993093
2018-09-16 13:09:19,40.7535991,-73.9923611
2018-09-16 13:06:16,40.7523772,-73.989966
2018-09-16 13:00:23,40.751198,-73.9910113
2018-09-16 12:58:17,40.752029,-73.9935826
2018-09-16 12:56:17,40.7367664,-74.0014798
2018-09-16 12:51:21,40.7254618,-74.003959
2018-09-16 12:39:20,40.7120955,-74.0109163
2018-09-16 12:35:49,40.712807,-74.0120978
2018-09-16 12:01:34,40.7170125,-74.0330556
2018-09-16 11:58:09,40.716354,-74.0343606
2018-09-16 11:54:26,40.7238285,-74.0362099
2018-09-16 11:52:10,40.7290249,-74.0325282
2018-09-16 11:46:38,40.7270516,-74.0317561
2018-09-16 11:40:12,40.7273079,-74.0321954
2018-09-16 11:14:28,40.7271985,-74.0320857
2018-09-16 03:21:02,40.7268242,-74.0341036
2018-09-16 03:09:47,40.7121122,-74.0118153
2018-09-16 03:04:27,40.7114428,-74.0109561
2018-09-16 03:02:25,40.7106593,-74.0093156
2018-09-16 02:57:59,40.7217351,-74.0053398
2018-09-16 02:55:24,40.7329915,-74.0002805
2018-09-16 02:52:32,40.7461476,-73.9978304
2018-09-16 02:43:32,40.7528555,-73.9928839
2018-09-16 02:34:57,40.7538047,-73.9931822
2018-09-15 16:23:40,40.7537197,-73.9931888
2018-09-15 15:15:59,40.7547376,-73.9922415
2018-09-15 15:13:56,40.7527776,-73.9929438
2018-09-15 02:30:50,40.7203174,-74.0436148
2018-09-15 02:27:45,40.7197796,-74.0423777
2018-09-14 17:17:04,40.7296071,-73.993567
2018-09-14 17:13:44,40.729596,-73.9935607
2018-09-14 17:11:51,40.7296772,-73.9933748
2018-09-14 17:09:48,40.7305428,-73.992418
2018-09-14 17:05:59,40.7194817,-74.0019589
2018-09-14 17:00:12,40.707813,-74.0129936
2018-09-14 16:58:10,40.7020466,-74.0127456
2018-09-14 16:46:51,40.6921614,-73.9861563
2018-09-14 16:43:13,40.6937296,-73.9873051
2018-09-14 15:13:13,40.6935034,-73.9863908
2018-09-14 15:10:54,40.6927533,-73.9862927
2018-09-14 13:51:50,40.6935645,-73.9861739
2018-09-14 13:49:16,40.6929101,-73.9870202
2018-09-10 21:31:22,40.7252835,-73.9964066
2018-09-10 21:25:25,40.713495,-73.9901512
2018-09-10 21:18:11,40.7007127,-73.9866594
2018-09-10 21:16:10,40.7001987,-73.9857944
2018-09-10 21:13:15,40.6999323,-73.9838566
2018-09-10 21:11:15,40.699655,-73.98281
2018-09-10 21:09:15,40.6992554,-73.982099
2018-09-10 21:07:15,40.698443,-73.9816266
2018-09-10 21:05:15,40.6983086,-73.9804157
2018-09-10 21:02:11,40.6982555,-73.978154
2018-09-10 20:59:11,40.6982116,-73.9756255
2018-09-10 20:55:51,40.6984503,-73.9744237
2018-09-10 20:00:00,40.6995459,-73.9787019
2018-09-10 19:51:58,40.6996215,-73.9800142
2018-09-10 19:49:48,40.700225,-73.9813349
2018-09-10 19:46:38,40.7012896,-73.9827182
2018-09-10 19:42:58,40.7014495,-73.9851754
